"Dose","Delta","Time_immobile","Distance","Speed"
"0 mg/kg",28.20350649566344,6.84,81.062,4.5
"0 mg/kg",26.261151662611493,0.511666666666667,84.575,4.7
"0 mg/kg",-22.67150920494279,1.32666666666667,60.626,3.4
"0 mg/kg",31.18409401915797,1.17666666666667,64.903,3.6
"0 mg/kg",55.084629145452105,2.29166666666667,106.691,5.9
"0 mg/kg",83.84173297966403,0.78,96.874,5.4
"0 mg/kg",72.09797657082002,2.49166666666667,102.726,5.7
"0 mg/kg",29.252420506851536,1.33166666666667,175.992,9.8
"0 mg/kg",8.004027718178676,2.45333333333333,89.548,5.0
"0 mg/kg",-8.92729439809294,7.42833333333333,42.488,2.4
"0 mg/kg",39.85021149498701,3.68333333333333,23.267,1.7
"0 mg/kg",5.9678546470998715,3.51333333333333,127.609,7.1
"0 mg/kg",-2.867578645646388,6.20666666666667,30.028,1.8
"0 mg/kg",10.707830284637957,3.20333333333333,26.803,1.6
"0 mg/kg",-11.174965809552367,5.325,72.354,8.4
"1.5 mg/kg",13.010323791647197,17.2533333333333,26.075,1.4
"1.5 mg/kg",-2.332839197940228,7.98833333333333,30.943,1.7
"1.5 mg/kg",-76.07616665000545,2.12166666666667,58.673,3.3
"1.5 mg/kg",16.27732432685994,11.2316666666667,100.332,5.6
"1.5 mg/kg",19.91649356857838,4.035,56.155,3.1
"1.5 mg/kg",-45.317609710999754,0.531666666666667,95.149,5.3
"1.5 mg/kg",14.504081680075531,5.325,52.061,2.9
"1.5 mg/kg",18.217633473712826,2.115,84.27,4.7
"1.5 mg/kg",-47.789160924879766,3.465,41.731,2.5
"1.5 mg/kg",-30.066841664077792,8.77666666666667,40.115,2.3
"1.5 mg/kg",32.068446336724634,3.48166666666667,58.242,3.4
"1.5 mg/kg",-38.772,3.12333333333333,41.21,2.3
"1.5 mg/kg",12.314609757734452,11.8633333333333,15.717,0.9
"1.5 mg/kg",-26.457297785811285,15.9883333333333,19.481,1.1
"1.5 mg/kg",21.51677460856396,4.27666666666667,48.277,2.7
"3 mg/kg",-24.54816917634756,1.05166666666667,88.111,4.9
"3 mg/kg",8.840506329113929,2.30666666666667,46.83,2.6
"3 mg/kg",-16.98797472445116,0.863333333333333,66.632,3.7
"3 mg/kg",-1.2987012987012767,2.77166666666667,42.995,2.4
"3 mg/kg",17.947804830473597,0.793333333333333,154.2,8.6
"3 mg/kg",3.301855200589389,0.166666666666667,94.952,5.3
"3 mg/kg",-37.69470404984415,1.62,82.029,4.6
"3 mg/kg",-27.954337330169356,4.44666666666667,73.715,4.2
"3 mg/kg",21.72454414125933,2.36,78.215,4.3
"3 mg/kg",-72.99463809921988,4.84333333333333,38.541,2.4
"3 mg/kg",-7.626323549122316,3.98833333333333,58.271,3.2
"3 mg/kg",-6.19847178923932,5.14166666666667,62.373,3.5
"3 mg/kg",-33.45132743362831,2.8,9.965,0.6
"3 mg/kg",16.213684708730213,17.0683333333333,16.027,0.9
"3 mg/kg",-57.23152022719219,5.60666666666667,23.759,1.3
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
